# Escala de Intereses de Thurstone — subconjunto balanceado de 30 pares.
# Cada una de las 10 áreas (CF, CB, Cp, C, E, P, L, H, A, M) aparece 6 veces.
# Formato: numero;area1;tarea1;area2;tarea2
# El área determina el puntaje y NO se muestra en la vista del test.
# La matriz completa de 100 pares está respaldada en docs/pares-completo-100.csv.
2;CB;Diagnosticar y tratar a un paciente;CF;Investigar las leyes de la materia y la energía
3;Cp;Resolver problemas con cálculos abstractos;CF;Mezclar sustancias y medir sus reacciones
4;C;Gestionar préstamos e inversiones de un banco;CF;Diseñar el mecanismo de una máquina
13;Cp;Analizar datos y sacar estadísticas;CB;Estudiar y clasificar las plantas
14;C;Manejar un negocio propio;CB;Planear la alimentación de una persona
15;E;Gobernar una ciudad;CB;Investigar los seres vivos en el laboratorio
24;C;Dirigir la producción de una industria;Cp;Calcular y registrar los pagos
25;E;Dictar sentencia en un tribunal;Cp;Llevar las cuentas y registros financieros
26;P;Crear campañas para convencer al público;Cp;Manejar dinero y cuadrar la caja
35;E;Gobernar una región;C;Vender mercancía al por mayor
36;P;Dar un discurso para convencer a la gente;C;Gestionar préstamos e inversiones de un banco
37;L;Editar y corregir textos de un periódico;C;Importar y comercializar productos
46;P;Redactar anuncios publicitarios;E;Comandar una unidad militar
47;L;Escribir artículos para revistas;E;Comandar la tripulación de un barco
48;H;Ayudar a comunidades necesitadas;E;Dirigir una institución educativa
57;L;Investigar y narrar hechos históricos;P;Promover productos médicos a doctores
58;H;Apoyar a familias en situación difícil;P;Convencer a alguien de contratar un seguro
59;A;Dibujar historietas;P;Crear campañas para convencer al público
68;H;Rehabilitar a personas con discapacidad visual;L;Escribir una novela
69;A;Dibujar el diseño de un edificio;L;Investigar y narrar hechos históricos
70;M;Componer canciones;L;Cubrir noticias desde otro país
71;CF;Observar y estudiar los astros;H;Guiar espiritualmente a las personas
79;A;Dirigir una obra de teatro;H;Ayudar a comunidades necesitadas
80;M;Tocar el órgano;H;Velar por el bienestar de los niños
81;CF;Diseñar el mecanismo de una máquina;A;Dibujar el diseño de un edificio
82;CB;Operar a un paciente en quirófano;A;Esculpir una figura en piedra o metal
90;M;Enseñar a tocar un instrumento;A;Diseñar ropa y vestuario
91;CF;Reparar equipos electrónicos de radio;M;Enseñar a tocar un instrumento
92;CB;Investigar los seres vivos en el laboratorio;M;Tocar la trompeta
93;Cp;Manejar dinero y cuadrar la caja;M;Dirigir una banda musical
